proceedingId,conferenceName
74a35d8e-ad5b-4c7a-8122-01d2c844484f,International Conference on Computing Communication Control and automation
a3d89c8f-5d6a-4471-891b-a58bebc4f252,International Conference on Computing Communication and Networking Technologies
8413e205-c5b8-4490-877c-2f7a89ac9ebc,International Conference on Computing and Communication Systems (I3CS)
2374e30a-6fbf-4da0-b433-933a84704c5b,International Conference on Computing and Communication Technologies for Smart Nation (IC3TSN)
7bb9edcc-7070-4696-9b83-efd84dc035ba,International Conference on Computing and Convergence Technology
87392657-2974-4418-9b69-c6f00bbf2b92,International Conference on Computing for Sustainable Global Development
550bd16d-5516-40ae-80ca-d6f07aa56368,"International Conference on Computing, Communication and Automation"
e895f8c1-7f7d-4f1f-83ff-b041f81cce28,"International Conference on Computing, Mathematics and Engineering Technologies (iCoMET)"
c537e68e-8d20-4a22-9669-fbedd5023622,"International Conference on Computing, Power and Communication Technologies (GUCON)"
d28a6aa5-518c-4597-8ee6-7f7761d35061,International Conference on Crowd Science and Engineering
673506db-a378-485c-8d2b-ac677fbb0726,International Conference on Cyber and IT Service Management (CITSM)
374344c5-bcf0-4bca-9c99-4b2ec1a04ea2,International Conference on Cyber and IT Service Management (CITSM)
a248ffee-1546-4ad6-9efe-36e410df5d19,International Conference on Cybernetics and Intelligent System (ICORIS)
9f2c9046-2207-444e-a842-2937046b1bb5,International Conference on E Business and Information System Security
6082908f-0042-4d4c-ae99-5ec74d8bcb25,International Conference on Education and Management Technology
1edaa829-4e42-42b8-8dc2-9848b6983534,International Conference on Electrical Engineering and Computer Science (ICECOS)
d1f4e2f4-96bc-4772-801f-30929ef8883f,"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)"
26272016-18a5-48cf-bd78-0c976717b5f2,"International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology"
254ae658-9756-4160-b202-c9d47acdf826,International Conference on Electrical and Computing Technologies and Applications (ICECTA)
d7bbf72e-f928-4e2d-abc2-383efacbc30b,International Conference on Electrical and Control Engineering
b2a1829a-a58d-41a2-98b4-89fce283f9f3,"International Conference on Electrical, Electronics, and Optimization Techniques"
