authorId,name,affiliations
2108694939,Ruotong Wang,University of Washington
2118684187,Wei Yu,
1697640,B. Liblit,
121933004,Sophia Hunger,
3299642,Shuzhao Li,
3017751,C. Keown,
5820522,L. S. Mure,
3404939,Heng Shi,
2270878218,Richard Branson,
2875062,Esther Keymolen,
50261224,B. Molina,
1708654,R. Munos,
49219413,A. Rasheed,
145745294,P. Dario,
2658386,Erik Ismert,
1927362,Amy Bearman,
8812882,Parisa Kaghazgaran,
145009263,M. A. Little,
2088846,G. Dror,
2258525339,Meghann Johnson,
102764184,S. Ganguly,
2766928,Stefan Schlobach,
2048439240,Tiantian Wang,
3375926,Ademar Crotti Junior,
70051750,C. Shanbhag,
3658427,J. Barral,
2667810,H. Malik,
2065586862,Kai Feng,
2938289,A. Cheema,
40588148,Hao Zhang,
35793299,Seán Ó hÉigeartaigh,
2067285,J. Krumsiek,
30702899,N. Kuzmenko,
1401492864,J. Fernández-Martínez,
2695019,Seung-Jean Kim,
144585035,J. Wardlaw,
1571696567,John Meehan,
144995341,Markus Schneider,
3553972,C. Grudzen,
5046438,Avinash Konkani,
34775571,R. Canals,
144543541,P. Auer,
1737696,M. D. Benedetto,
48719842,O. Blinkova,
2756795,Yuchang Gong,
2229081,Marc Coram,
73622204,C. Kang,
143844109,W. Lu,
2269685,Nikos Bikakis,
3433186,Z. Liu,
24068173,Mario Giulianelli,University of Amsterdam
8524015,S. Lubeck,
51001991,Fabian Kowatsch,
2194252319,German M. Demidov,
2066571092,Ran Xian,
145434274,N. Sarma,
2065943824,Sara Ekström,
2253163,A. Gyulassy,
48915135,R. Parshad,
1799779,T. Taha,
2066819269,James Philbin,
145124475,R. Salakhutdinov,
51905184,S. Debois,
2143661687,ml ah,
145337089,Simone Diniz Junqueira Barbosa,Pontifical Catholic University of Rio de Janeiro
1772992,M. Boeker,
1805699,S. Altschul,
47843271,Mengmeng Jiang,
2113153,W. Stead,
3422058,Tegan Maharaj,Mila; Montreal Polytechnique
3173460,M. Blaser,
33743703,R. Sacks,
1392699220,Stéfan V. Couture,
35846271,R. Sarkar,
1796457,Mike Hibler,
31706836,Ryan H. Peters,
1684988,Jiejun Xu,
1680664,A. Ferrara,
12666312,L. T. ’t Hart,
1905257,K. Paynabar,
1417813900,Haoyuan Li,
2531168,J. Schnase,
2093884088,K. Houck,
1468636850,Christy Dennison,
1773133,Claudio Marrocco,
2060629689,Christian Lehmann,
1785369759,Indra Joshi,
1714472,Y. Sagiv,
1945088,D. Hovland,
143920719,Eric C. Kansa,
2240736228,Philip E. Bourne,
4769653,Yuanbing Li,
97708088,H. Wan,
1719748,Mark Hempstead,
2884561,Sebastian Ruder,Cohere
1990045588,Emily Merrill,
3032035,Norman Heino,
3558529,J. Patarapotikul,
1401502420,G. Raber,
40597167,James Hodson,
143682293,Andrey Malevich,
1659071030,I. Vona,
5630504,E. Anslyn,
2792621,Keishi Tajima,
2108743609,Wentian Li,
48615144,Yan Xu,
144720379,Alexandre Passos,
40088778,V. Lukas,
2880726,Raffaele Pizzolante,
143665718,M. Correll,
2268573167,Kayla Desportes,
2168785331,Emma Bou Hanna,
2117098991,Zhi Chen,
38823547,J. Ferguson,
49020088,Yunchao Wei,
1685240,Edward Bortnikov,
8765574,M. Sqalli,
2385432,M. Maashi,
48307524,S. McKay,
1401722698,Malihe Layeghian Javan,
2694282,J. Davim,
2052862732,Samantha Leung,
3844190,A. Diefenbach,
120876129,Dyan J. Fausto,
1765998,Xiaodong Lin,
2108085994,Jeffrey Zhang,
1401020033,Brendan T. O'Connor,
2291321134,Wen-Hao Liu,
2115797573,Xiaoyong Zhang,
2105562,H. Kagermann,
8690367,R. Lemieux,
35043342,H. Ogata,
1402528690,S. Romero-Brufau,
2734854,J. Fiskio,
39790023,Jian Li,
2157278013,Jin Sun,
1945875059,Allison Scibisz,
102778246,Oshrat Hochman,
5921789,M. Hindell,
39505728,Sapna Jain,
145178087,B. Cho,
2014061,Jari Vesanen,
144682636,R. Torre,
2978255,Wen-bing Huang,
46929294,J. Sloan,
7225832,B. Ács,
35078863,Ado Adamou Abba Ari,
2491009,F. Grodzinsky,
145403312,L. Kogan,
66982159,H. K. Gupta,
2151923341,J. Paskett,
34291238,L. Tu,
152399055,P. Barham,
1721982,G. Picco,
1691929,D. Hiemstra,
6239086,T. Katzner,
37634025,Christopher D. Garay,
1809758,R. Gelbard,
50474505,T. Shepherd,
1688415,F. Leymann,
36957223,J. Whitaker,
102429215,Kai-Fu Lee,
3338546,Nam C. Nguyen,
48778183,Rowena I. Davis,
2053322381,D. Jansen,
143612195,R. Humbert,
144411970,Jie Qin,
34231949,A. Holder,
2145915149,Yue Zhang,
2281395076,Dr. Manesh R. Palav,
1411237753,Brendan Viscomi,
98271906,Yan Xu,the Hong Kong University of Science and Technology
49997612,Georg Seelig,
145481919,J. Sterne,
2147312210,Suraj Patil,
152397412,K. Wade,
1797840,Alexandre Gramfort,Inria
32584454,D. Christianson,
1829350,Riccardo Miotto,
2720456,G. Bex,
1689089,Mark D. Smucker,
2219615522,R. Monica,
5360342,Xian Adiconis,
1757683,V. Sheinin,
145049355,M. Moreno,
2115648970,Lu Shen,
35177620,L. Irwig,
3536850,A. Chiti,
1969657,C. Yung,
2112718966,Yu Xiong,
2236479264,S. Chekanov,
2282275,Daniel Grunwell,
1469461030,J. Ting,
144562571,Z. Varga,
5443896,A. Mehonic,
39913087,L. Jacobsen,
5270212,T. Luechtefeld,
2316832417,Lijie Wen,
50998463,Venkata Giri,
14875552,Loes Mandigers,
38370684,J. Bi,
2275252154,Matt Wiethoff,
104491237,J. Gottmann,
3203499,G. Ducournau,
47362691,P. Ray,
143920404,G. Rodrigo,
32580243,Keith B. Hall,Google Inc.
6817951,Arthur Petron,
66374440,M. Brochu,
3418007,Raghav Lagisetty,
1704699,M. Pontil,
39276324,S. Anderson,
2051844737,Jiangfan Cao,
48981482,C. Lam,
2125078572,M. Mohammadi,
100780542,Zhiqiang Shang,
2190281078,Aur'elie N'ev'eol,
46358230,Youngwoon Lee,
17858570,K. Christie,
144906624,Alex Wang,
3021654,Daniel Lowd,University of Oregon
32301367,He Qian,
39979946,Friedemann Zenke,
1747465,Frank Zeyda,
2058888124,Umang Gupta,
2498349,R. J. Barker,
3362695,D. Sonkin,
152383938,B. Neumayr,
33568342,C. Myers,
2272742,G. Langran,
2228233159,C. Vazquez,
49566832,Roheet Bhatnagar,
143626914,Weichen Shen,
2278947981,Giuseppe Marra,
16080163,S. Yoshiji,
3802172,N. Van Regenmortel,
4504689,J. Hipfner,
3264110,Ralf Krestel,ZBW - Leibniz Information Centre for Economics; Kiel University
14886336,Ye Yuan,
2090679,M. Surette,
2059358552,P. Cochat,
2085911377,I. Savchenko,
2558463,Ross Goroshin,
1473650542,Yiran Tu,
81266201,V. Denicola,
3025058,M. Greenblatt,
3574528,S. Chmura,
28781470,Deena P. Francis,
3394498,E. Langbehn,
1380847203,Kaleigh L. McCormick,
2866544,Morgan C. Benton,
48483491,John Rouse,
2542603,Wayne Xin Zhao,
46314319,Wenyi Wang,
2314934455,Chang-Ching Wu,
5961984,S. Shannon,
2078175412,A. Akmaludin,
48393221,D. Mann,
2747412,M. Bahaj,
2348934601,Mathias Klier,
2371914,N. Benjamin Erichson,University of Pittsburgh
87699871,Sara Ahmed,
145138754,Jin Yu,
